Year	Population	Growth Rate
2022	7,953,952,567	1.00%
2021	7,874,965,825	1.03%
2020	7,794,798,739	1.05%
2019	7,713,468,100	1.08%
2018	7,631,091,040	1.10%
2017	7,547,858,925	1.12%
2016	7,464,022,049	1.14%
2015	7,379,797,139	1.16%
2014	7,295,290,765	1.17%
2013	7,210,581,976	1.19%
2012	7,125,828,059	1.20%
2011	7,041,194,301	1.21%
2010	6,956,823,603	1.22%
2009	6,872,767,093	1.23%
2008	6,789,088,686	1.24%
2007	6,705,946,610	1.24%
2006	6,623,517,833	1.25%
2005	6,541,907,027	1.25%
2004	6,461,159,389	1.25%
2003	6,381,185,114	1.26%
2002	6,301,773,188	1.27%
2001	6,222,626,606	1.29%
2000	6,143,493,823	1.31%
1999	6,064,239,055	1.33%
1998	5,984,793,942	1.35%
1997	5,905,045,788	1.38%
1996	5,824,891,951	1.40%
1995	5,744,212,979	1.43%
1994	5,663,150,427	1.46%
1993	5,581,597,546	1.50%
1992	5,498,919,809	1.56%
1991	5,414,289,444	1.63%
1990	5,327,231,061	1.71%
1989	5,237,441,558	1.79%
1988	5,145,426,008	1.84%
1987	5,052,522,147	1.85%
1986	4,960,567,912	1.84%
1985	4,870,921,740	1.82%
1984	4,784,011,621	1.80%
1983	4,699,569,304	1.78%
1982	4,617,386,542	1.77%
1981	4,536,996,762	1.77%
1980	4,458,003,514	1.77%
1979	4,380,506,100	1.76%
1978	4,304,533,501	1.77%
1977	4,229,506,060	1.80%
1976	4,154,666,864	1.84%
1975	4,079,480,606	1.89%
1974	4,003,794,172	1.94%
1973	3,927,780,238	1.98%
1972	3,851,650,245	2.01%
1971	3,775,759,617	2.04%
1970	3,700,437,046	2.06%
1969	3,625,680,627	2.09%
1968	3,551,599,127	2.09%
1967	3,478,769,962	2.08%
1966	3,407,922,630	2.05%
1965	3,339,583,597	2.00%
1964	3,273,978,338	1.96%
1963	3,211,001,009	1.92%
1962	3,150,420,795	1.89%
1961	3,091,843,507	1.87%
1960	3,034,949,748	1.86%
1959	2,979,576,185	1.84%
1958	2,925,686,705	1.82%
1957	2,873,306,090	1.80%
1956	2,822,443,282	1.78%
1955	2,773,019,936	1.77%
1954	2,724,846,741	1.76%
1953	2,677,608,960	1.78%
1952	2,630,861,562	1.81%
1951	2,584,034,261	1.88%
1950	2,536,431,149	0.00%
